id_festival,envergure_territoriale_festival,code_insee_commune_festival,adresse_postale_festival,complement_adresse_festival,geocodage_xy_festival,latitude_festival,longitude_festival,id_commune,GeoPoint_festival
1658,Régionale,70227,7 Rue grande,,"47.8319641353, 6.5834328372",47.8319641353,6.5834328372,27113,POINT(6.5834328372 47.8319641353)
4348,,70239,Grande rue,,"47.4719327079, 6.02806238503",47.4719327079,6.02806238503,27125,POINT(6.02806238503 47.4719327079)
1590,Régionale,70279,30 Rue Victor-Hugo,,"47.4320889937, 5.61070658545",47.4320889937,5.61070658545,27161,POINT(5.61070658545 47.4320889937)
4387,,70279,7 Rue Sauzay,,"47.4320889937, 5.61070658545",47.4320889937,5.61070658545,27161,POINT(5.61070658545 47.4320889937)
6596,,70279,30 Rue Victor Hugo,,"47.4320889937, 5.61070658545",47.4320889937,5.61070658545,27161,POINT(5.61070658545 47.4320889937)
195,Départementale,70292,,,"47.8171454049, 5.88977076116",47.8171454049,5.88977076116,27173,POINT(5.88977076116 47.8171454049)
185,Départementale,70310,29 Rue Albert Mathiez,Centre culturel François Mitterrand,"47.6851664568, 6.49651910322",47.6851664568,6.49651910322,27190,POINT(6.49651910322 47.6851664568)
904,Intercommunale,70310,Esplanade Charles de Gaulle,,"47.6851664568, 6.49651910322",47.6851664568,6.49651910322,27190,POINT(6.49651910322 47.6851664568)
4212,,70310,,,"47.6851664568, 6.49651910322",47.6851664568,6.49651910322,27190,POINT(6.49651910322 47.6851664568)
264,Départementale,70311,10 Place de la Baille,,"47.823919724, 6.36363973342",47.823919724,6.36363973342,27191,POINT(6.36363973342 47.823919724)
1313,Régionale,70311,17 Rue Victor-Genoux,,"47.823919724, 6.36363973342",47.823919724,6.36363973342,27191,POINT(6.36363973342 47.823919724)
1778,Transfrontalière,70311,10 Rue de la Baille,,"47.823919724, 6.36363973342",47.823919724,6.36363973342,27191,POINT(6.36363973342 47.823919724)
4559,,70311,1 Place Saint-Pierre,Espace Frichet,"47.823919724, 6.36363973342",47.823919724,6.36363973342,27191,POINT(6.36363973342 47.823919724)
4897,,7041,400 Chemin De Grusse,,"45.2673233399, 4.64536894386",45.2673233399,4.64536894386,2072,POINT(4.64536894386 45.2673233399)
250,Départementale,70414,10 bis Quartier de Saint-Antoine,Scierie Saint-Antoine,"47.7857364865, 6.77321577931",47.7857364865,6.77321577931,27283,POINT(6.77321577931 47.7857364865)
446,Départementale,7042,17 Avenue Notre Dame,,"44.3830866916, 4.61398365069",44.3830866916,4.61398365069,2073,POINT(4.61398365069 44.3830866916)
5677,,7042,,Impérial Orphéon,"44.3830866916, 4.61398365069",44.3830866916,4.61398365069,2073,POINT(4.61398365069 44.3830866916)
781,Intercommunale,70421,53 Rue Jean Boge,,"47.692500452, 6.03302774909",47.692500452,6.03302774909,27290,POINT(6.03302774909 47.692500452)
1814,Transfrontalière,70421,,,"47.692500452, 6.03302774909",47.692500452,6.03302774909,27290,POINT(6.03302774909 47.692500452)
458,Intercommunale,7045,,Espace Astier,"44.748232889, 4.23385605882",44.748232889,4.23385605882,2075,POINT(4.23385605882 44.748232889)
225,Départementale,70451,13 Rue de la Chapelle,Colline Notre-Dame du Haut,"47.7159736796, 6.63465984032",47.7159736796,6.63465984032,27318,POINT(6.63465984032 47.7159736796)
1165,Intercommunale,70459,,Mairie,"47.7410393174, 6.60409347666",47.7410393174,6.60409347666,27325,POINT(6.60409347666 47.7410393174)
400,Départementale,70482,Zone artisanale,L’Ecu,"47.6798278841, 5.96387998278",47.6798278841,5.96387998278,27346,POINT(5.96387998278 47.6798278841)
1166,Intercommunale,70482,Route de Saint-Albin,Salle des fêtes,"47.6798278841, 5.96387998278",47.6798278841,5.96387998278,27346,POINT(5.96387998278 47.6798278841)
355,Départementale,70513,Rue de la Prairie,Salle polyvalente (gymnase),"47.633860629, 6.10644479493",47.633860629,6.10644479493,27374,POINT(6.10644479493 47.633860629)
375,Départementale,70550,Place Pierre Renet,,"47.6320408648, 6.1548458149",47.6320408648,6.1548458149,27410,POINT(6.1548458149 47.6320408648)
1309,Régionale,70550,Place Pierre Renet,Théâtre Edwige Feuillère,"47.6320408648, 6.1548458149",47.6320408648,6.1548458149,27410,POINT(6.1548458149 47.6320408648)
1334,Régionale,70550,2 Impasse Fleurier,Ensemble Justiniana,"47.6320408648, 6.1548458149",47.6320408648,6.1548458149,27410,POINT(6.1548458149 47.6320408648)
3586,,70550,25 Rue du docteur Doillon,,"47.6320408648, 6.1548458149",47.6320408648,6.1548458149,27410,POINT(6.1548458149 47.6320408648)
3432,,70561,Place Place de la Mairie,,"47.559065822, 6.42909523129",47.559065822,6.42909523129,27419,POINT(6.42909523129 47.559065822)
1855,,7064,1 Rue des écoles - 6 rue du Couvent,Compagnie Janvier,"44.9076391858, 4.42108479359",44.9076391858,4.42108479359,2092,POINT(4.42108479359 44.9076391858)
6275,,7064,21 Avenue de Saunier,,"44.9076391858, 4.42108479359",44.9076391858,4.42108479359,2092,POINT(4.42108479359 44.9076391858)
3313,,7080,,Différents lieux :  Château de Montivert Grange de Clavière Commanderie de Devesset,"45.0660987902, 4.39288168953",45.0660987902,4.39288168953,2108,POINT(4.39288168953 45.0660987902)
4118,,71009,,,"47.0770713545, 4.09241779804",47.0770713545,4.09241779804,27449,POINT(4.09241779804 47.0770713545)
3137,,71013,,,"46.8899153529, 5.30758337993",46.8899153529,5.30758337993,27453,POINT(5.30758337993 46.8899153529)
229,Départementale,71014,2 Rue Henri Dunant,,"46.945536773, 4.31060069532",46.945536773,4.31060069532,27454,POINT(4.31060069532 46.945536773)
972,Intercommunale,71014,,,"46.945536773, 4.31060069532",46.945536773,4.31060069532,27454,POINT(4.31060069532 46.945536773)
2011,,71014,,,"46.945536773, 4.31060069532",46.945536773,4.31060069532,27454,POINT(4.31060069532 46.945536773)
2171,,71014,,,"46.945536773, 4.31060069532",46.945536773,4.31060069532,27454,POINT(4.31060069532 46.945536773)
2636,,71014,,,"46.945536773, 4.31060069532",46.945536773,4.31060069532,27454,POINT(4.31060069532 46.945536773)
3280,,71014,,,"46.945536773, 4.31060069532",46.945536773,4.31060069532,27454,POINT(4.31060069532 46.945536773)
6168,,71014,,,"46.945536773, 4.31060069532",46.945536773,4.31060069532,27454,POINT(4.31060069532 46.945536773)
6908,,71014,,,"46.945536773, 4.31060069532",46.945536773,4.31060069532,27454,POINT(4.31060069532 46.945536773)
6012,,71016,1 Place Place du Cèdre,Halles d'Azé,"46.4318867242, 4.74963746686",46.4318867242,4.74963746686,27456,POINT(4.74963746686 46.4318867242)
4493,,71037,1 Rue du château,Château Pontus de Tyard,"46.6633352989, 4.6213986546",46.6633352989,4.6213986546,27477,POINT(4.6213986546 46.6633352989)
6746,,71037,1 Place Pontus de Tyard,château Pontus deyard,"46.6633352989, 4.6213986546",46.6633352989,4.6213986546,27477,POINT(4.6213986546 46.6633352989)
3759,,71047,,Parcs et jardins de la commune,"46.6204280383, 3.76862021355",46.6204280383,3.76862021355,27487,POINT(3.76862021355 46.6204280383)
4006,,71059,,,"46.7952744773, 4.49374098192",46.7952744773,4.49374098192,27496,POINT(4.49374098192 46.7952744773)
1206,Intercommunale,7107,Place Du champs de Mars,,"44.6298203979, 4.23815139749",44.6298203979,4.23815139749,2135,POINT(4.23815139749 44.6298203979)
1317,Régionale,71070,1 Place de la Gare,c/o Office de Tourisme Sud Côte Chalonnaise,"46.7130408432, 4.71342619185",46.7130408432,4.71342619185,27507,POINT(4.71342619185 46.7130408432)
6566,,71073,1 Place du théâtre,,"46.8985800984, 4.77433585145",46.8985800984,4.77433585145,27510,POINT(4.77433585145 46.8985800984)
