id_festival_wikidata,nom_festival_wikidata,site_internet_festival_wikidata,nombre_de_followers,id_follower_festival_wikidata
http://www.wikidata.org/entity/Q29550308,Festival Concours de Courts,http://www.concoursdecourts.com/,,634
http://www.wikidata.org/entity/Q29550338,Festival du Film d'1 Jour,http://www.ff1j.fr/,,635
http://www.wikidata.org/entity/Q2960862,Charlie Jazz Festival,http://charliejazzfestival.com,,636
http://www.wikidata.org/entity/Q2961573,Chauffer dans la noirceur,https://www.chaufferdanslanoirceur.org/,,637
http://www.wikidata.org/entity/Q2961869,Chaînon manquant (festival),,,638
http://www.wikidata.org/entity/Q29647334,Japan Tours Festival,http://www.japantoursfestival.com/,4186,639
http://www.wikidata.org/entity/Q29661429,Festival international du court métrage Paul Simon,http://www.festival-courtmetrage.com/,,640
http://www.wikidata.org/entity/Q2972063,Chéries-Chéris,http://www.cheries-cheris.com,2831,641
http://www.wikidata.org/entity/Q2972306,Cidre et Dragon,,,642
http://www.wikidata.org/entity/Q2973088,Ciné en herbe,http://www.cineenherbe.com,,643
http://www.wikidata.org/entity/Q2973176,cinéma du réel,http://www.cinereel.org,,644
http://www.wikidata.org/entity/Q2973311,Festival Circa,http://www.circa.auch.fr/fr/festival-du-cirque-actuel,,645
http://www.wikidata.org/entity/Q2991552,Comédie du Livre,https://www.10joursenmai.fr/,,646
http://www.wikidata.org/entity/Q2991923,Concerts de Vollore,http://www.concertsdevollore.fr,,647
http://www.wikidata.org/entity/Q2992125,Concours chorégraphique international de Bagnolet,,,648
http://www.wikidata.org/entity/Q2995581,Contes en Côtière,,,649
http://www.wikidata.org/entity/Q2995582,Contes et Rencontres,,,650
http://www.wikidata.org/entity/Q2998956,Coup de chauffe,https://avantscene.com/agenda/festivals/coup-de-chauffe,,651
http://www.wikidata.org/entity/Q3001798,Couvre Feu,,,652
http://www.wikidata.org/entity/Q3002473,Crescendo association,http://www.festival-crescendo.com/,,653
http://www.wikidata.org/entity/Q30049442,Les Rencontres Cinématographiques de Cannes,,,654
http://www.wikidata.org/entity/Q30152465,Festival international Théodore Gouvy,http://www.institut-theodore-gouvy.fr/,,655
http://www.wikidata.org/entity/Q3024141,Des images aux mots,http://www.des-images-aux-mots.fr/,,656
http://www.wikidata.org/entity/Q30325356,Q30325356,,,657
http://www.wikidata.org/entity/Q3033451,Doc en courts,https://contactdocencourts.wixsite.com/monsite,,658
http://www.wikidata.org/entity/Q3040732,ducasse,,,659
http://www.wikidata.org/entity/Q3042634,Décibulles,http://www.decibulles.com,,660
http://www.wikidata.org/entity/Q3045118,Désir... Désirs,https://www.festival-desirdesirs.com/,,661
http://www.wikidata.org/entity/Q3050574,Electrobeach Music Festival,http://www.electrobeach.com/,,662
