precision_sur_statut_edifice,statut_juridique_edifice,id_monument_historique
Société civile immobilière,propriété d'une société privée,35819
,propriété privée,33913
,propriété de la commune,36868
,propriété privée,33850
Société SOGIMM,propriété d'une société privée,33851
propriété de l'association diocésaine de Belley-Ars,propriété d'une association cultuelle,36848
,propriété privée,33854
,propriété de la commune,36869
,propriété privée,33853
,"Propriété de la commune, propriété de la communauté de communes",33852
,propriété de la commune,33855
,propriété privée,36851
,propriété de la commune,33856
,propriété de la commune,33857
,propriété privée,36856
,propriété de la commune,33858
,propriété privée,33906
,propriété de la commune,33859
,propriété privée,36849
,propriété privée,33916
,propriété privée,33861
,propriété du département,33917
,propriété privée,33860
,propriété de la commune,33862
,propriété privée,36861
,propriété privée,36880
,propriété privée,33863
,propriété de la commune,36874
,propriété privée,36852
,propriété de la commune,33864
,propriété privée,33907
,propriété d'une association,33866
,propriété de la commune,33865
,propriété privée,33867
,propriété de la commune,33868
,propriété de la commune,33869
,propriété privée,33870
,propriété de la commune,33871
,propriété privée,33872
,propriété privée,33873
,propriété de la commune,33874
,propriété de la commune,33876
,propriété de la commune,33875
,propriété privée,33877
,propriété privée,33880
,propriété privée,33879
Propriété du Patrimoine des Pays de l'Ain - Union des associations pour la culture et la sauvegarde du patrimoine des pays de l'Ain,propriété d'une association,33881
,propriété de la commune,33878
,propriété de la commune,36857
,propriété privée,33882
,propriété de la commune,33725
,propriété d'une société privée,33883
,propriété privée,33884
,propriété de la commune,33885
,propriété privée,33886
,propriété privée,33914
,propriété privée,36865
,propriété privée,36110
Propriété des domaines (biens de l'état non affectés) ; propriété de la commune (AB 59) ; propriété privée (AB 756; 757),propriété de l'Etat ; propriété privée ; propriété de la commune,33887
,propriété d'une association,36846
,propriété privée,33888
,propriété privée,33889
,propriété de la commune,33915
,propriété privée,33890
propriété du conseil général de l'Ain,propriété du département,36858
,propriété privée,33891
,propriété de la commune,36875
,propriété privée,36866
,propriété de la commune,33892
,propriété privée,33893
,propriété de la commune,33894
,propriété de la commune ; propriété privée,36883
,propriété privée,33895
,propriété privée,33896
,propriété de la commune,33904
,propriété privée,36862
,propriété de l'Etat,33898
,propriété de la commune,33897
,propriété d'une société privée,33910
,propriété privée,33899
,propriété de la commune,33920
,propriété privée,36871
,propriété privée,36878
,propriété privée,33901
,propriété privée,33900
,propriété d'une société privée,33902
,propriété de la commune,33903
,propriété privée,36884
,propriété de la commune,32844
,propriété privée,36894
,propriété de la commune,32845
,propriété privée,36909
,propriété de la commune,32846
,propriété d'une société privée,32847
,propriété de la commune,32848
,propriété de la commune,32849
,propriété de la commune,32850
,propriété privée,32851
,propriété de la commune,32852
,propriété privée,32853
,propriété de la commune,36918
,propriété privée,32854
,propriété privée,36967
,propriété de la commune,32856
,propriété privée,32857
,propriété privée,32858
,propriété de la commune,32859
,propriété privée,32860
,propriété de la commune,32861
,propriété de la commune,32862
,propriété de la commune,32863
,propriété de la commune,32864
,propriété de la commune,32865
,propriété de la commune,32866
,propriété privée,32867
,propriété de la commune,32868
,propriété privée,32869
,propriété de la commune,32870
Appartient à l'Etat français; affecté au Ministère de la Défence (direction de la mémoire; du patrimoine et des archives) par acte passé antérieurement au 1er janvier 1956.,propriété de l'Etat,36981
,,36955
,propriété privée,32872
,propriété de la commune,32871
,propriété de la commune,32873
,propriété privée,33348
,propriété privée,36916
,,32874
,propriété de la commune,32875
,propriété privée,32877
,propriété de la commune,32876
,propriété de la commune,32878
,propriété de la commune,36984
,propriété de la commune,32879
,propriété de la commune,32880
,propriété de la commune,32881
,propriété privée,32884
,propriété de la commune,32885
,propriété de la commune,32886
