id_festival,decennie_creation_festival,annee_creation_festival,periode_principale_deroulement_festival
1677,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
2931,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
2955,2010 et après,2015,Saison (21 juin - 5 septembre)
3582,2010 et après,,Avant-saison (1er janvier - 20 juin)
3886,2010 et après,,Avant-saison (1er janvier - 20 juin)
629,De 1990 à 1999,1995,Saison (21 juin - 5 septembre)
6063,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
6102,De 2000 à 2009,2004,Saison (21 juin - 5 septembre)
5972,De 1980 à 1989,1986,Saison (21 juin - 5 septembre)
1482,De 2000 à 2009,2007,Avant-saison (1er janvier - 20 juin)
3420,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
992,De 2000 à 2009,2006,Saison (21 juin - 5 septembre)
6514,De 1990 à 1999,1998,Saison (21 juin - 5 septembre)
178,De 2000 à 2009,2008,Saison (21 juin - 5 septembre)
740,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
5569,2010 et après,2012,Après-saison (6 septembre - 31 décembre)
6578,2010 et après,2011,Après-saison (6 septembre - 31 décembre)
3308,2010 et après,2014,Saison (21 juin - 5 septembre)
379,De 2000 à 2009,2009,Saison (21 juin - 5 septembre)
1427,2010 et après,2010,Après-saison (6 septembre - 31 décembre)
603,2010 et après,2010,Après-saison (6 septembre - 31 décembre)
395,De 2000 à 2009,2000,Saison (21 juin - 5 septembre)
1711,2010 et après,2022,Avant-saison (1er janvier - 20 juin)
4726,De 2000 à 2009,2005,Après-saison (6 septembre - 31 décembre)
6164,2010 et après,2017,Saison (21 juin - 5 septembre)
6400,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
6589,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
3645,De 2000 à 2009,2001,Après-saison (6 septembre - 31 décembre)
3790,De 1990 à 1999,1996,Après-saison (6 septembre - 31 décembre)
4169,2010 et après,2016,Saison (21 juin - 5 septembre)
6950,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
5904,De 2000 à 2009,2004,Saison (21 juin - 5 septembre)
6410,2010 et après,2013,Saison (21 juin - 5 septembre)
5984,De 2000 à 2009,2006,Avant-saison (1er janvier - 20 juin)
1072,2010 et après,2012,Avant-saison (1er janvier - 20 juin)
4020,De 2000 à 2009,2006,Avant-saison (1er janvier - 20 juin)
5265,De 2000 à 2009,2008,Avant-saison (1er janvier - 20 juin)
6253,2010 et après,2018,Saison (21 juin - 5 septembre)
2984,De 2000 à 2009,2003,Avant-saison (1er janvier - 20 juin)
4241,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
4425,2010 et après,2017,Saison (21 juin - 5 septembre)
4242,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
1547,De 1990 à 1999,1999,Après-saison (6 septembre - 31 décembre)
5145,De 1990 à 1999,1995,Avant-saison (1er janvier - 20 juin)
2896,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
1443,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
2925,De 2000 à 2009,2003,Après-saison (6 septembre - 31 décembre)
3951,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
132,De 1980 à 1989,1989,Après-saison (6 septembre - 31 décembre)
133,De 1990 à 1999,1995,Avant-saison (1er janvier - 20 juin)
461,De 1990 à 1999,,Saison (21 juin - 5 septembre)
484,De 2000 à 2009,2002,Après-saison (6 septembre - 31 décembre)
567,De 2000 à 2009,2001,Avant-saison (1er janvier - 20 juin)
709,De 2000 à 2009,2002,Après-saison (6 septembre - 31 décembre)
835,De 2000 à 2009,2000,Après-saison (6 septembre - 31 décembre)
888,De 1990 à 1999,1998,Après-saison (6 septembre - 31 décembre)
1013,2010 et après,,Avant-saison (1er janvier - 20 juin)
1796,De 2000 à 2009,,Saison (21 juin - 5 septembre)
2038,2010 et après,,Avant-saison (1er janvier - 20 juin)
2504,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
3979,Avant 1980,1975,Saison (21 juin - 5 septembre)
5048,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
4960,2010 et après,2020,Avant-saison (1er janvier - 20 juin)
6259,2010 et après,2010,Saison (21 juin - 5 septembre)
6585,De 2000 à 2009,2000,Avant-saison (1er janvier - 20 juin)
491,2010 et après,2016,Saison (21 juin - 5 septembre)
360,De 2000 à 2009,2000,Après-saison (6 septembre - 31 décembre)
5267,De 2000 à 2009,2008,Saison (21 juin - 5 septembre)
673,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
2401,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
3686,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
3853,2010 et après,2014,Saison (21 juin - 5 septembre)
7141,2010 et après,2016,Saison (21 juin - 5 septembre)
6471,2010 et après,2019,Saison (21 juin - 5 septembre)
5692,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
3449,De 2000 à 2009,,Saison (21 juin - 5 septembre)
5708,Avant 1980,1969,Saison (21 juin - 5 septembre)
4492,2010 et après,,Saison (21 juin - 5 septembre)
1958,De 2000 à 2009,2004,Après-saison (6 septembre - 31 décembre)
2028,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
2642,2010 et après,2012,Avant-saison (1er janvier - 20 juin)
2643,2010 et après,,Avant-saison (1er janvier - 20 juin)
3294,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
3613,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
3760,De 1980 à 1989,1985,Après-saison (6 septembre - 31 décembre)
3761,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
4316,De 2000 à 2009,2006,Avant-saison (1er janvier - 20 juin)
4499,De 2000 à 2009,2005,Avant-saison (1er janvier - 20 juin)
4500,De 2000 à 2009,2005,Avant-saison (1er janvier - 20 juin)
4898,De 2000 à 2009,2006,Après-saison (6 septembre - 31 décembre)
5036,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
5037,De 2000 à 2009,2004,Après-saison (6 septembre - 31 décembre)
5213,2010 et après,,Après-saison (6 septembre - 31 décembre)
5387,De 2000 à 2009,2000,Après-saison (6 septembre - 31 décembre)
5388,De 2000 à 2009,2003,Avant-saison (1er janvier - 20 juin)
5557,De 1980 à 1989,1989,Saison (21 juin - 5 septembre)
6159,De 2000 à 2009,2001,Après-saison (6 septembre - 31 décembre)
6192,De 2000 à 2009,2006,Avant-saison (1er janvier - 20 juin)
6378,De 2000 à 2009,2002,Avant-saison (1er janvier - 20 juin)
6557,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
6558,De 1990 à 1999,1990,Avant-saison (1er janvier - 20 juin)
6752,2010 et après,,Après-saison (6 septembre - 31 décembre)
6927,2010 et après,2018,Après-saison (6 septembre - 31 décembre)
6194,De 2000 à 2009,2004,Après-saison (6 septembre - 31 décembre)
5646,De 1990 à 1999,1999,Avant-saison (1er janvier - 20 juin)
2820,De 1990 à 1999,,Saison (21 juin - 5 septembre)
3466,De 1980 à 1989,1990,Après-saison (6 septembre - 31 décembre)
3619,De 1990 à 1999,,Après-saison (6 septembre - 31 décembre)
6933,2010 et après,,Avant-saison (1er janvier - 20 juin)
5738,De 2000 à 2009,2004,Saison (21 juin - 5 septembre)
3476,De 1990 à 1999,1999,Saison (21 juin - 5 septembre)
3773,De 2000 à 2009,2005,Avant-saison (1er janvier - 20 juin)
5222,De 2000 à 2009,,Saison (21 juin - 5 septembre)
6576,,,
5056,2010 et après,,Saison (21 juin - 5 septembre)
2509,2010 et après,2019,Après-saison (6 septembre - 31 décembre)
3634,Avant 1980,1905,Saison (21 juin - 5 septembre)
5405,De 1990 à 1999,1993,Saison (21 juin - 5 septembre)
6768,De 1980 à 1989,1986,Après-saison (6 septembre - 31 décembre)
6769,2010 et après,,
4375,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
3148,2010 et après,,Avant-saison (1er janvier - 20 juin)
4748,De 2000 à 2009,2000,Saison (21 juin - 5 septembre)
6945,2010 et après,2010,Saison (21 juin - 5 septembre)
2055,2010 et après,,Saison (21 juin - 5 septembre)
3639,2010 et après,,Saison (21 juin - 5 septembre)
4162,2010 et après,,Saison (21 juin - 5 septembre)
4163,De 2000 à 2009,,Saison (21 juin - 5 septembre)
5062,Avant 1980,1978,Saison (21 juin - 5 septembre)
5063,2010 et après,,Avant-saison (1er janvier - 20 juin)
6214,2010 et après,2016,Saison (21 juin - 5 septembre)
4536,De 2000 à 2009,2007,Avant-saison (1er janvier - 20 juin)
3661,2010 et après,,Avant-saison (1er janvier - 20 juin)
1853,De 2000 à 2009,2004,Saison (21 juin - 5 septembre)
4737,2010 et après,,Après-saison (6 septembre - 31 décembre)
6411,De 1990 à 1999,1995,Saison (21 juin - 5 septembre)
2223,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
5759,De 2000 à 2009,2009,Saison (21 juin - 5 septembre)
3159,De 2000 à 2009,2007,Saison (21 juin - 5 septembre)
4738,2010 et après,,Saison (21 juin - 5 septembre)
6612,De 1990 à 1999,1991,Saison (21 juin - 5 septembre)
3040,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
2686,2010 et après,2019,Après-saison (6 septembre - 31 décembre)
4372,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
3172,De 2000 à 2009,2009,Saison (21 juin - 5 septembre)
3803,2010 et après,2010,Après-saison (6 septembre - 31 décembre)
4190,De 1980 à 1989,1987,Saison (21 juin - 5 septembre)
2372,2010 et après,2011,Après-saison (6 septembre - 31 décembre)
2236,Avant 1980,1971,Saison (21 juin - 5 septembre)
6963,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
3339,2010 et après,,Après-saison (6 septembre - 31 décembre)
4202,,,Avant-saison (1er janvier - 20 juin)
4209,2010 et après,2013,Saison (21 juin - 5 septembre)
6627,2010 et après,,Après-saison (6 septembre - 31 décembre)
2389,De 2000 à 2009,,
6986,De 2000 à 2009,2005,Avant-saison (1er janvier - 20 juin)
2969,2010 et après,2011,Saison (21 juin - 5 septembre)
3021,De 1990 à 1999,1997,Avant-saison (1er janvier - 20 juin)
3681,2010 et après,2014,Saison (21 juin - 5 septembre)
6649,De 2000 à 2009,2004,Après-saison (6 septembre - 31 décembre)
6990,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
3060,2010 et après,2011,Saison (21 juin - 5 septembre)
3367,2010 et après,,Saison (21 juin - 5 septembre)
2268,De 2000 à 2009,2004,
4797,De 1990 à 1999,1999,Saison (21 juin - 5 septembre)
6659,De 2000 à 2009,2007,Après-saison (6 septembre - 31 décembre)
2719,De 2000 à 2009,2001,Avant-saison (1er janvier - 20 juin)
3848,2010 et après,,
3857,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
5478,2010 et après,,Avant-saison (1er janvier - 20 juin)
6842,2010 et après,2014,Saison (21 juin - 5 septembre)
7017,2010 et après,,Saison (21 juin - 5 septembre)
6843,2010 et après,2013,Saison (21 juin - 5 septembre)
4594,De 1980 à 1989,,Saison (21 juin - 5 septembre)
1845,De 2000 à 2009,2007,Saison (21 juin - 5 septembre)
2417,2010 et après,,Avant-saison (1er janvier - 20 juin)
2587,,,Avant-saison (1er janvier - 20 juin)
2914,De 2000 à 2009,2002,Saison (21 juin - 5 septembre)
3381,2010 et après,2015,Saison (21 juin - 5 septembre)
4596,De 1980 à 1989,,Saison (21 juin - 5 septembre)
2276,De 1990 à 1999,,Après-saison (6 septembre - 31 décembre)
2279,2010 et après,2010,Après-saison (6 septembre - 31 décembre)
3222,Avant 1980,1954,Saison (21 juin - 5 septembre)
5309,2010 et après,,Saison (21 juin - 5 septembre)
2425,2010 et après,2013,Après-saison (6 septembre - 31 décembre)
959,2010 et après,2015,Saison (21 juin - 5 septembre)
1923,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
2281,De 2000 à 2009,2008,Avant-saison (1er janvier - 20 juin)
2282,De 2000 à 2009,2002,Après-saison (6 septembre - 31 décembre)
2592,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
4430,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
4602,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
4818,De 2000 à 2009,2009,Avant-saison (1er janvier - 20 juin)
5316,De 2000 à 2009,2002,Après-saison (6 septembre - 31 décembre)
5821,2010 et après,,Avant-saison (1er janvier - 20 juin)
5966,De 2000 à 2009,2003,Après-saison (6 septembre - 31 décembre)
6478,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
6850,Avant 1980,1979,Saison (21 juin - 5 septembre)
7022,Avant 1980,1923,Saison (21 juin - 5 septembre)
7023,2010 et après,2013,Après-saison (6 septembre - 31 décembre)
551,2010 et après,2012,Saison (21 juin - 5 septembre)
2283,De 2000 à 2009,2004 ?,Saison (21 juin - 5 septembre)
3861,De 1990 à 1999,1995,Avant-saison (1er janvier - 20 juin)
4431,2010 et après,,Saison (21 juin - 5 septembre)
3538,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
3337,2010 et après,,Avant-saison (1er janvier - 20 juin)
3548,De 1990 à 1999,,Saison (21 juin - 5 septembre)
2430,De 2000 à 2009,2005,Saison (21 juin - 5 septembre)
4062,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
4827,De 1980 à 1989,,Saison (21 juin - 5 septembre)
2301,2010 et après,2012,Après-saison (6 septembre - 31 décembre)
5157,De 2000 à 2009,2006,Après-saison (6 septembre - 31 décembre)
3563,2010 et après,,Avant-saison (1er janvier - 20 juin)
4842,2010 et après,2010,Saison (21 juin - 5 septembre)
3249,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
2151,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
4465,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
5356,2010 et après,,Avant-saison (1er janvier - 20 juin)
4015,2010 et après,,Saison (21 juin - 5 septembre)
704,2010 et après,2017,Après-saison (6 septembre - 31 décembre)
827,De 1990 à 1999,1997,Avant-saison (1er janvier - 20 juin)
967,De 2000 à 2009,2009,Après-saison (6 septembre - 31 décembre)
1144,2010 et après,2021,Avant-saison (1er janvier - 20 juin)
1413,De 2000 à 2009,2006,Saison (21 juin - 5 septembre)
1414,De 1990 à 1999,1996,Après-saison (6 septembre - 31 décembre)
1415,De 1990 à 1999,1999,Après-saison (6 septembre - 31 décembre)
1420,2010 et après,2002,Avant-saison (1er janvier - 20 juin)
1464,2010 et après,2016,Saison (21 juin - 5 septembre)
1746,De 2000 à 2009,2007,Après-saison (6 septembre - 31 décembre)
1789,2010 et après,2011,Saison (21 juin - 5 septembre)
1933,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
4294,De 2000 à 2009,2007,Saison (21 juin - 5 septembre)
4660,De 1990 à 1999,1999,Après-saison (6 septembre - 31 décembre)
5012,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
5013,De 2000 à 2009,2009,Avant-saison (1er janvier - 20 juin)
1686,2010 et après,2015,Saison (21 juin - 5 septembre)
5719,De 2000 à 2009,2009,Après-saison (6 septembre - 31 décembre)
6198,2010 et après,2011,Saison (21 juin - 5 septembre)
4198,2010 et après,2016,Saison (21 juin - 5 septembre)
1421,2010 et après,2010,Avant-saison (1er janvier - 20 juin)
1422,De 1990 à 1999,,Après-saison (6 septembre - 31 décembre)
5630,2010 et après,2018,Saison (21 juin - 5 septembre)
424,De 1990 à 1999,1992,Avant-saison (1er janvier - 20 juin)
1022,2010 et après,2017,Après-saison (6 septembre - 31 décembre)
1417,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
3536,2010 et après,2017,Après-saison (6 septembre - 31 décembre)
1005,2010 et après,2019,Saison (21 juin - 5 septembre)
1418,2010 et après,,Saison (21 juin - 5 septembre)
762,2010 et après,2018,Saison (21 juin - 5 septembre)
7037,2010 et après,2019,Après-saison (6 septembre - 31 décembre)
1331,De 2000 à 2009,2004,Saison (21 juin - 5 septembre)
1733,2010 et après,2016,Saison (21 juin - 5 septembre)
705,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
562,De 1980 à 1989,1987,Après-saison (6 septembre - 31 décembre)
1148,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
1300,De 1980 à 1989,1988,Après-saison (6 septembre - 31 décembre)
1371,De 1990 à 1999,1993,Avant-saison (1er janvier - 20 juin)
1541,De 2000 à 2009,2001,Après-saison (6 septembre - 31 décembre)
1567,De 1980 à 1989,1988,Après-saison (6 septembre - 31 décembre)
1601,De 1980 à 1989,1986,Après-saison (6 septembre - 31 décembre)
2017,2010 et après,2019,Saison (21 juin - 5 septembre)
5204,2010 et après,2017,Après-saison (6 septembre - 31 décembre)
5548,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
6365,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
6547,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
348,2010 et après,2012,Saison (21 juin - 5 septembre)
3966,2010 et après,2014,Saison (21 juin - 5 septembre)
4497,De 1990 à 1999,1990,Saison (21 juin - 5 septembre)
2344,2010 et après,2015,Saison (21 juin - 5 septembre)
1321,De 2000 à 2009,2000,Saison (21 juin - 5 septembre)
1419,De 2000 à 2009,2003,Avant-saison (1er janvier - 20 juin)
193,2010 et après,2018,Saison (21 juin - 5 septembre)
1416,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
3764,De 1980 à 1989,1989,Après-saison (6 septembre - 31 décembre)
5391,De 1980 à 1989,1988,Avant-saison (1er janvier - 20 juin)
5842,De 2000 à 2009,,Saison (21 juin - 5 septembre)
1424,2010 et après,2018,Saison (21 juin - 5 septembre)
4963,2010 et après,2018,Après-saison (6 septembre - 31 décembre)
5769,De 1990 à 1999,1994,Saison (21 juin - 5 septembre)
747,2010 et après,2018,Saison (21 juin - 5 septembre)
748,De 2000 à 2009,2008,Saison (21 juin - 5 septembre)
241,2010 et après,2015,Saison (21 juin - 5 septembre)
1512,De 1980 à 1989,1988,Saison (21 juin - 5 septembre)
1132,2010 et après,2015,Saison (21 juin - 5 septembre)
2725,De 1990 à 1999,1991,Saison (21 juin - 5 septembre)
2585,De 1990 à 1999,1998,Saison (21 juin - 5 septembre)
7019,De 1990 à 1999,1999,Saison (21 juin - 5 septembre)
621,De 1980 à 1989,1981,Après-saison (6 septembre - 31 décembre)
6729,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
6865,2010 et après,2019,Saison (21 juin - 5 septembre)
6901,De 1990 à 1999,1996,Saison (21 juin - 5 septembre)
506,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
936,De 1990 à 1999,1998,Après-saison (6 septembre - 31 décembre)
1563,De 1980 à 1989,1983,Avant-saison (1er janvier - 20 juin)
1747,2010 et après,2010,Après-saison (6 septembre - 31 décembre)
1780,De 1990 à 1999,1999,Saison (21 juin - 5 septembre)
3275,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
3591,De 1990 à 1999,1999,Saison (21 juin - 5 septembre)
4931,De 1990 à 1999,1998,Saison (21 juin - 5 septembre)
5368,De 2000 à 2009,2006,Saison (21 juin - 5 septembre)
775,2010 et après,2012,Saison (21 juin - 5 septembre)
2321,,,Saison (21 juin - 5 septembre)
137,De 2000 à 2009,2004,Saison (21 juin - 5 septembre)
5626,2010 et après,,Saison (21 juin - 5 septembre)
2331,2010 et après,2013,Saison (21 juin - 5 septembre)
4126,2010 et après,2018,Saison (21 juin - 5 septembre)
2489,De 1990 à 1999,1992,Saison (21 juin - 5 septembre)
738,2010 et après,2019,Après-saison (6 septembre - 31 décembre)
2963,2010 et après,2018,Saison (21 juin - 5 septembre)
565,2010 et après,2021,Saison (21 juin - 5 septembre)
891,De 2000 à 2009,2004,Saison (21 juin - 5 septembre)
5068,De 1980 à 1989,1985,Après-saison (6 septembre - 31 décembre)
2889,2010 et après,,Avant-saison (1er janvier - 20 juin)
2226,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
4367,De 2000 à 2009,2006,Après-saison (6 septembre - 31 décembre)
2688,2010 et après,2017,Saison (21 juin - 5 septembre)
3934,De 1990 à 1999,1994,Avant-saison (1er janvier - 20 juin)
6416,De 2000 à 2009,2008,Avant-saison (1er janvier - 20 juin)
5084,2010 et après,2020,Avant-saison (1er janvier - 20 juin)
5107,De 2000 à 2009,2007,Avant-saison (1er janvier - 20 juin)
3195,,,Saison (21 juin - 5 septembre)
4579,De 2000 à 2009,2008,Avant-saison (1er janvier - 20 juin)
399,De 1990 à 1999,1996,Avant-saison (1er janvier - 20 juin)
672,2010 et après,2021,Après-saison (6 septembre - 31 décembre)
751,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
869,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
870,2010 et après,2021,Saison (21 juin - 5 septembre)
1409,2010 et après,2019 / première édition en 2021,Saison (21 juin - 5 septembre)
1698,De 2000 à 2009,2004,Saison (21 juin - 5 septembre)
1759,de 1980 à 1989,1982,Avant-saison (1er janvier - 20 juin)
2102,De 1990 à 1999,1997,Avant-saison (1er janvier - 20 juin)
2874,De 1980 à 1989,1981,Après-saison (6 septembre - 31 décembre)
2887,De 2000 à 2009,2006,Après-saison (6 septembre - 31 décembre)
3206,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
4232,2010 et après,2013,Après-saison (6 septembre - 31 décembre)
4792,2010 et après,2020,Après-saison (6 septembre - 31 décembre)
4794,2010 et après,,Avant-saison (1er janvier - 20 juin)
4816,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
5806,De 2000 à 2009,2009,Avant-saison (1er janvier - 20 juin)
7000,De 1980 à 1989,1989,Avant-saison (1er janvier - 20 juin)
519,2010 et après,2019,Saison (21 juin - 5 septembre)
725,2010 et après,2013,Après-saison (6 septembre - 31 décembre)
984,2010 et après,,Saison (21 juin - 5 septembre)
2589,2010 et après,,Saison (21 juin - 5 septembre)
2729,2010 et après,,Avant-saison (1er janvier - 20 juin)
5311,2010 et après,,Après-saison (6 septembre - 31 décembre)
1882,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
4826,2010 et après,2015,Saison (21 juin - 5 septembre)
599,De 2000 à 2009,2001,Avant-saison (1er janvier - 20 juin)
3866,2010 et après,2020,Saison (21 juin - 5 septembre)
148,2010 et après,,Avant-saison (1er janvier - 20 juin)
3232,De 1990 à 1999,1998,Avant-saison (1er janvier - 20 juin)
6502,2010 et après,2020,Avant-saison (1er janvier - 20 juin)
3408,2010 et après,2021,Saison (21 juin - 5 septembre)
126,De 1990 à 1999,1990,Saison (21 juin - 5 septembre)
2451,De 1990 à 1999,,Avant-saison (1er janvier - 20 juin)
2957,2010 et après,2016,Saison (21 juin - 5 septembre)
5346,De 2000 à 2009,2005,Avant-saison (1er janvier - 20 juin)
6875,2010 et après,2018,Après-saison (6 septembre - 31 décembre)
1106,,,Saison (21 juin - 5 septembre)
1450,2010 et après,2011,Après-saison (6 septembre - 31 décembre)
4090,De 2000 à 2009,2000,Avant-saison (1er janvier - 20 juin)
1538,De 1990 à 1999,1996,Saison (21 juin - 5 septembre)
246,2010 et après,2011,Saison (21 juin - 5 septembre)
402,De 1990 à 1999,1996,Saison (21 juin - 5 septembre)
635,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
877,De 2000 à 2009,,Saison (21 juin - 5 septembre)
1082,Avant 1980,1971,Saison (21 juin - 5 septembre)
2787,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
3581,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
3739,De 1990 à 1999,1996,Avant-saison (1er janvier - 20 juin)
5690,De 2000 à 2009,2001,Saison (21 juin - 5 septembre)
700,2010 et après,2017,Saison (21 juin - 5 septembre)
585,2010 et après,2016,Saison (21 juin - 5 septembre)
3585,2010 et après,,Saison (21 juin - 5 septembre)
396,Avant 1980,1975,Saison (21 juin - 5 septembre)
902,2010 et après,2011,Saison (21 juin - 5 septembre)
6072,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
6247,De 2000 à 2009,,Saison (21 juin - 5 septembre)
1584,De 1990 à 1999,1996,Saison (21 juin - 5 septembre)
2158,Avant 1980,1973,Saison (21 juin - 5 septembre)
4876,De 2000 à 2009,2005,Après-saison (6 septembre - 31 décembre)
197,2010 et après,2018,Saison (21 juin - 5 septembre)
303,2010 et après,,Après-saison (6 septembre - 31 décembre)
6855,De 2000 à 2009,2001,Après-saison (6 septembre - 31 décembre)
5385,De 1980 à 1989,31564,Saison (21 juin - 5 septembre)
6105,2010 et après,,Avant-saison (1er janvier - 20 juin)
4538,De 1990 à 1999,,Saison (21 juin - 5 septembre)
5694,Avant 1980,,Saison (21 juin - 5 septembre)
2855,2010 et après,,Saison (21 juin - 5 septembre)
1868,De 2000 à 2009,,Saison (21 juin - 5 septembre)
2911,De 2000 à 2009,2005,Saison (21 juin - 5 septembre)
1869,2010 et après,,Saison (21 juin - 5 septembre)
3636,2010 et après,,Après-saison (6 septembre - 31 décembre)
1198,De 2000 à 2009,2009,Saison (21 juin - 5 septembre)
4665,,,Saison (21 juin - 5 septembre)
1939,2010 et après,2013,Saison (21 juin - 5 septembre)
5000,De 1980 à 1989,1989,Avant-saison (1er janvier - 20 juin)
5543,2010 et après,2018,Après-saison (6 septembre - 31 décembre)
1233,De 1990 à 1999,1992,Avant-saison (1er janvier - 20 juin)
1465,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
779,2010 et après,,Après-saison (6 septembre - 31 décembre)
1749,De 2000 à 2009,2007,Avant-saison (1er janvier - 20 juin)
3457,,,Après-saison (6 septembre - 31 décembre)
3961,,,Saison (21 juin - 5 septembre)
6560,2010 et après,,Avant-saison (1er janvier - 20 juin)
1077,De 2000 à 2009,,Après-saison (6 septembre - 31 décembre)
1200,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
6382,2010 et après,2010,Avant-saison (1er janvier - 20 juin)
3144,,,Après-saison (6 septembre - 31 décembre)
860,De 1980 à 1989,1986,Après-saison (6 septembre - 31 décembre)
4337,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
4342,2010 et après,2010,Saison (21 juin - 5 septembre)
1234,De 2000 à 2009,,Après-saison (6 septembre - 31 décembre)
1030,2010 et après,,Avant-saison (1er janvier - 20 juin)
1389,Avant 1980,46ème,Saison (21 juin - 5 septembre)
2214,2010 et après,2015,Saison (21 juin - 5 septembre)
5756,2010 et après,2019,Saison (21 juin - 5 septembre)
3989,2010 et après,2020,Saison (21 juin - 5 septembre)
6784,De 2000 à 2009,2007,Saison (21 juin - 5 septembre)
6610,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
1840,Avant 1980,,Saison (21 juin - 5 septembre)
3674,2010 et après,2011,Saison (21 juin - 5 septembre)
4565,De 2000 à 2009,2004,Après-saison (6 septembre - 31 décembre)
1163,De 2000 à 2009,2009,Avant-saison (1er janvier - 20 juin)
6265,De 1990 à 1999,1999,Saison (21 juin - 5 septembre)
462,2010 et après,,Après-saison (6 septembre - 31 décembre)
2935,2010 et après,2016,Saison (21 juin - 5 septembre)
2097,Avant 1980,,Saison (21 juin - 5 septembre)
2396,2010 et après,2014,Saison (21 juin - 5 septembre)
3364,De 2000 à 2009,2008,Après-saison (6 septembre - 31 décembre)
6993,2010 et après,2013,Après-saison (6 septembre - 31 décembre)
4076,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
1459,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
1478,2010 et après,2018,Après-saison (6 septembre - 31 décembre)
5476,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
7121,De 2000 à 2009,,Après-saison (6 septembre - 31 décembre)
5128,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
1308,2010 et après,2017,Saison (21 juin - 5 septembre)
1533,De 1980 à 1989,1988,Après-saison (6 septembre - 31 décembre)
