id_festival,decennie_creation_festival,annee_creation_festival,periode_principale_deroulement_festival
6241,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
6422,2010 et après,,Saison (21 juin - 5 septembre)
3496,De 2000 à 2009,2005,Saison (21 juin - 5 septembre)
6419,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
3178,De 1990 à 1999,1998,Avant-saison (1er janvier - 20 juin)
4762,De 2000 à 2009,,Après-saison (6 septembre - 31 décembre)
5607,De 2000 à 2009,,Saison (21 juin - 5 septembre)
3983,2010 et après,2017,Saison (21 juin - 5 septembre)
492,De 2000 à 2009,,Saison (21 juin - 5 septembre)
1297,De 2000 à 2009,2009,Avant-saison (1er janvier - 20 juin)
2244,Avant 1980,1604,Avant-saison (1er janvier - 20 juin)
3182,,,Saison (21 juin - 5 septembre)
3505,De 2000 à 2009,2000,Saison (21 juin - 5 septembre)
6974,2010 et après,2019,Saison (21 juin - 5 septembre)
7087,2010 et après,2012,Après-saison (6 septembre - 31 décembre)
398,De 2000 à 2009,2004,Après-saison (6 septembre - 31 décembre)
671,2010 et après,2011,Saison (21 juin - 5 septembre)
1476,2010 et après,2012,Après-saison (6 septembre - 31 décembre)
2264,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
2399,2010 et après,2014,Saison (21 juin - 5 septembre)
4229,,,Saison (21 juin - 5 septembre)
4582,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
4789,,,Avant-saison (1er janvier - 20 juin)
4790,2010 et après,,Saison (21 juin - 5 septembre)
5292,De 2000 à 2009,2005,Saison (21 juin - 5 septembre)
5629,,,Saison (21 juin - 5 septembre)
6273,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
2280,De 2000 à 2009,2017,Saison (21 juin - 5 septembre)
5312,2010 et après,2006,Saison (21 juin - 5 septembre)
4041,2010 et après,2015,Saison (21 juin - 5 septembre)
6171,2010 et après,2018,Saison (21 juin - 5 septembre)
6117,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
6289,De 2000 à 2009,2000,Saison (21 juin - 5 septembre)
5643,2010 et après,2017,Saison (21 juin - 5 septembre)
3851,2010 et après,,Avant-saison (1er janvier - 20 juin)
3701,2010 et après,,Saison (21 juin - 5 septembre)
1662,2010 et après,2015,Saison (21 juin - 5 septembre)
5324,De 2000 à 2009,2000,Saison (21 juin - 5 septembre)
5497,,,Saison (21 juin - 5 septembre)
5502,2010 et après,2015,Saison (21 juin - 5 septembre)
5338,2010 et après,2011,Après-saison (6 septembre - 31 décembre)
3245,2010 et après,,Avant-saison (1er janvier - 20 juin)
4103,2010 et après,,Après-saison (6 septembre - 31 décembre)
2930,2010 et après,2017,Saison (21 juin - 5 septembre)
