festival,festivalLabel,participants,website,followers
http://www.wikidata.org/entity/Q3070800,Festival international du film insulaire,,http://www.filminsulaire.com/,
http://www.wikidata.org/entity/Q3070803,"Festival international du film maritime, d'exploration et d'environnement",,http://www.fifme.com/,
http://www.wikidata.org/entity/Q3070804,Festival international du film ornithologique de Ménigoute,,http://www.menigoute-festival.org,
http://www.wikidata.org/entity/Q3070806,Festival international du film policier de Beaune,,http://www.beaunefestivalpolicier.com,
http://www.wikidata.org/entity/Q3070810,Festival international du grand reportage d'actualité et du documentaire de société,,http://www.figra.fr/,
http://www.wikidata.org/entity/Q3070811,Festival international du film écologique de Bourges,,,
http://www.wikidata.org/entity/Q3070818,Festival international musique & cinéma,,,
http://www.wikidata.org/entity/Q3070819,Festival international du premier film d'Annonay,,http://www.annonaypremierfilm.org/,
http://www.wikidata.org/entity/Q3070822,Festival miroirs et cinémas d'Afriques,,,
http://www.wikidata.org/entity/Q3070844,Festival national du film d'animation d'Auch,,http://www.festival-film-animation.fr/,
http://www.wikidata.org/entity/Q3092816,Fête de l'Animation,,https://www.fete-anim.com/,
http://www.wikidata.org/entity/Q3126177,Hallucinations collectives,,https://www.hallucinations-collectives.com/,
http://www.wikidata.org/entity/Q3187087,Journées internationales du film de court-métrage,,,
http://www.wikidata.org/entity/Q3188957,Jules Verne Aventures,,https://julesverne.org/festival-events/,
http://www.wikidata.org/entity/Q3204766,L'Ouvre-boîte,,,
http://www.wikidata.org/entity/Q3205516,L'Étrange Festival,,http://www.etrangefestival.com/index.php,
http://www.wikidata.org/entity/Q3235109,Les Reflets du cinéma ibérique et latino-américain,,https://www.lesreflets-cinema.com/,
http://www.wikidata.org/entity/Q3235127,Les Rencontres des cinémas d'Europe,,,
http://www.wikidata.org/entity/Q3267372,Lumières d'Afrique,,http://www.lumieresdafrique.com/,
http://www.wikidata.org/entity/Q3317586,Mobile Film Festival,,,
http://www.wikidata.org/entity/Q3349500,Off-Courts,,http://www.off-courts.com/,
http://www.wikidata.org/entity/Q3365268,Paris International Fantastic Film Festival,,http://www.pifff.fr/,
http://www.wikidata.org/entity/Q3365360,Pariscience,,,
http://www.wikidata.org/entity/Q3392232,Plein la bobine,,,
http://www.wikidata.org/entity/Q3425138,Rencontre cinéma de Marcigny,,http://www.marcynema.org,
http://www.wikidata.org/entity/Q3425157,Rencontres Henri-Langlois,,,
http://www.wikidata.org/entity/Q3425169,Rencontres cinématographiques de Digne-les-Bains,,https://rencontrescinedigne.com/,
http://www.wikidata.org/entity/Q3425178,Rencontres du cinéma de montagne,,http://www.grenoble-montagne.com/,
http://www.wikidata.org/entity/Q3425179,Rencontres du film documentaire,,http://www.tyfilms.fr,
http://www.wikidata.org/entity/Q3425189,Rencontres internationales de cinéma de Pontarlier,,,
http://www.wikidata.org/entity/Q3425196,Rencontres internationales du cinéma de patrimoine de Vincennes,,,
http://www.wikidata.org/entity/Q3478332,Semaine du cinéma britannique d'Abbeville,,,
http://www.wikidata.org/entity/Q3483814,"Silence, on court !",,http://www.silenceoncourt.fr/,
http://www.wikidata.org/entity/Q3488978,Soirées du cinéma ukrainien,,,
http://www.wikidata.org/entity/Q3518531,Terra di cinema,,http://terradicinema.org/,
http://www.wikidata.org/entity/Q3536169,Traces de Vies,,https://tracesdevies.org/,
http://www.wikidata.org/entity/Q3578993,Écrans de l'aventure,,http://la-guilde.org/aventure/festival/,
http://www.wikidata.org/entity/Q3578996,Écrans documentaires,,,
http://www.wikidata.org/entity/Q3588172,Émergence,,http://www.emergence-cinema.fr/,
http://www.wikidata.org/entity/Q3592537,Étonnants voyageurs,,http://www.etonnants-voyageurs.com/,
http://www.wikidata.org/entity/Q1408378,fest-noz,,,
http://www.wikidata.org/entity/Q1408683,Festival international de géographie,,http://www.fig.saint-die-des-vosges.fr,
http://www.wikidata.org/entity/Q1947348,Festival de Cornouaille,,https://www.festival-cornouaille.bzh/,
http://www.wikidata.org/entity/Q2901934,Biennale de la danse de Lyon,,https://www.labiennaledelyon.com/danse,
http://www.wikidata.org/entity/Q2910695,la fête du fleuve,,http://www.bordeaux-fete-le-fleuve.com/,
http://www.wikidata.org/entity/Q2910696,Bordeaux fête le vin,,http://www.bordeaux-fete-le-vin.com/,
http://www.wikidata.org/entity/Q2911405,Boréales,,https://www.lesboreales.com/,
http://www.wikidata.org/entity/Q2961869,Chaînon manquant (festival),,,
http://www.wikidata.org/entity/Q2972306,Cidre et Dragon,,,
http://www.wikidata.org/entity/Q2973311,Festival Circa,,http://www.circa.auch.fr/fr/festival-du-cirque-actuel,
http://www.wikidata.org/entity/Q2991552,Comédie du Livre,,https://www.10joursenmai.fr/,
http://www.wikidata.org/entity/Q2992125,Concours chorégraphique international de Bagnolet,,,
http://www.wikidata.org/entity/Q2998956,Coup de chauffe,,https://avantscene.com/agenda/festivals/coup-de-chauffe,
http://www.wikidata.org/entity/Q3040732,ducasse,,,
http://www.wikidata.org/entity/Q3059019,Estivada,,http://www.estivada-rodez.eu,
http://www.wikidata.org/entity/Q3059064,Estuaire,,,
http://www.wikidata.org/entity/Q3068784,Feria d'Arles,,,
http://www.wikidata.org/entity/Q3068785,Feria de Nîmes,,,
http://www.wikidata.org/entity/Q3069850,Festival Arte Flamenco,,http://arteflamenco.landes.org,
http://www.wikidata.org/entity/Q3069930,Festival Manifesto,,,
http://www.wikidata.org/entity/Q3069936,Festival Montpellier Danse,,https://www.montpellierdanse.com,
http://www.wikidata.org/entity/Q3069942,Festival Nicéphore +,,,
http://www.wikidata.org/entity/Q3069959,Festival Paris quartier d'été,,http://www.quartierdete.com,
http://www.wikidata.org/entity/Q3070008,Festival Temps d'images,,http://www.tempsdimages.eu/,
http://www.wikidata.org/entity/Q3070098,Festival d'Anjou,,http://www.festivaldanjou.com/,2110
http://www.wikidata.org/entity/Q3070240,Festival de l'histoire de l'art,,,
http://www.wikidata.org/entity/Q3070245,Festival de l'oiseau et de la nature,,https://www.festival-oiseau-nature.com/,
http://www.wikidata.org/entity/Q3070259,Festival de la bande dessinée de Colomiers,,,
http://www.wikidata.org/entity/Q3070294,Festival de la science-fiction de Roanne,,,
http://www.wikidata.org/entity/Q3070359,Festival des jardins de Chaumont-sur-Loire,,http://www.domaine-chaumont.fr/festival-international-des-jardins,
http://www.wikidata.org/entity/Q3070525,Festival du livre de Mouans-Sartoux,,,
http://www.wikidata.org/entity/Q3070640,Festival international des jeux,,http://www.festivaldesjeux-cannes.com/,
http://www.wikidata.org/entity/Q3070665,Festival international du cirque de Massy,,http://www.cirque-massy.com/,
http://www.wikidata.org/entity/Q3070836,Festival médiéval de Sedan,,,
http://www.wikidata.org/entity/Q3074983,Foliklores,,,
http://www.wikidata.org/entity/Q3077681,Forom des langues du monde,,,
http://www.wikidata.org/entity/Q3092817,Fête de l'Internet,,http://www.netpublic.fr/2014/03/fete-de-l-internet-2014/,
http://www.wikidata.org/entity/Q3092829,Fête de la Brière,,,
http://www.wikidata.org/entity/Q3092877,Fête des vendanges de Montmartre,,,
http://www.wikidata.org/entity/Q3092880,Fête du Roi de l'Oiseau,,https://www.roideloiseau.com/,
http://www.wikidata.org/entity/Q3092905,fêtes d'Arvor,,http://www.fetes-arvor.org/,
http://www.wikidata.org/entity/Q3092939,Fêtes johanniques d'Orléans,,,
http://www.wikidata.org/entity/Q3100068,Geek Faëries,,https://www.geekfaeries.fr/,
http://www.wikidata.org/entity/Q3114642,Le Grand Bivouac,,https://www.grandbivouac.com/,
http://www.wikidata.org/entity/Q3129563,Heiva,,,
http://www.wikidata.org/entity/Q3138700,Hivernales d'Avignon,,http://www.hivernales-avignon.com/,
http://www.wikidata.org/entity/Q3223297,Le Grand Pruneau Show,,,
http://www.wikidata.org/entity/Q3233294,Les Imaginales,,https://www.imaginales.fr/,6459
http://www.wikidata.org/entity/Q3234379,Les Orientales,,,
http://www.wikidata.org/entity/Q3235138,Les Rendez-vous de l'histoire,,http://www.rdv-histoire.com/,
http://www.wikidata.org/entity/Q3331889,Mythos,,https://www.festival-mythos.com/,3709
http://www.wikidata.org/entity/Q3346191,Nuits de la Bâtie d'Urfé,,,
http://www.wikidata.org/entity/Q3403700,Printemps de Pérouges,,https://www.festival-perouges.org/,
http://www.wikidata.org/entity/Q3425268,Rendez-vous du carnet de voyage de Clermont-Ferrand,,http://www.rendezvous-carnetdevoyage.com,
http://www.wikidata.org/entity/Q3437697,Rock'n Solex,,http://www.rocknsolex.fr/,3591
http://www.wikidata.org/entity/Q3478315,Festival des solidarités,,https://www.festivaldessolidarites.org,
http://www.wikidata.org/entity/Q3500067,Strasbulles,,,
http://www.wikidata.org/entity/Q3501126,Stunfest,,http://stunfest.3hitcombo.fr/,6917
http://www.wikidata.org/entity/Q3537761,Transphotographiques,,http://www.transphotographiques.com/,
http://www.wikidata.org/entity/Q5511683,Fête de la Concorde,,,
http://www.wikidata.org/entity/Q5744011,Herri Urrats,,http://www.herriurrats.com,
http://www.wikidata.org/entity/Q6435571,Festival Synthèse de Bourges,,,
http://www.wikidata.org/entity/Q4121415,Carnaval caribéen,,,
http://www.wikidata.org/entity/Q473423,Festival d'Avignon,,https://www.festival-avignon.com/,37446
http://www.wikidata.org/entity/Q126120097,carnaval de Kourou,,,
http://www.wikidata.org/entity/Q35253,carnaval de Nice,,http://en.nicecarnaval.com/,
http://www.wikidata.org/entity/Q35312,carnaval de Dunkerque,,,
http://www.wikidata.org/entity/Q35383,Carnaval de Paris,,,
http://www.wikidata.org/entity/Q35469,carnaval de Limoux,,,
http://www.wikidata.org/entity/Q2939677,Carnaval d'Albi,,,
http://www.wikidata.org/entity/Q2939691,Carnaval de Cholet,,,
http://www.wikidata.org/entity/Q2939697,Carnaval de Guyane,,,
http://www.wikidata.org/entity/Q2939699,Carnaval de Jargeau,,,
http://www.wikidata.org/entity/Q2939703,Carnaval de Martinique,,,
http://www.wikidata.org/entity/Q2939705,carnaval de Nantes,,,
http://www.wikidata.org/entity/Q2939716,Carnaval de Saint-Rémy-de-Provence,,,
http://www.wikidata.org/entity/Q2939721,carnaval des 2 rives,,,
http://www.wikidata.org/entity/Q2939723,Carnaval des Gais Lurons,,,
http://www.wikidata.org/entity/Q2939729,Carnaval étudiant de Caen,,,
http://www.wikidata.org/entity/Q2943198,Cavalcade de Scaër,,http://lacavalcade.fr/,
http://www.wikidata.org/entity/Q3092881,Fête du Citron,,,
http://www.wikidata.org/entity/Q3233087,Les Gras de Douarnenez,,,
http://www.wikidata.org/entity/Q1101472,Festival Clin d’Œil,,http://www.clin-doeil.eu,
http://www.wikidata.org/entity/Q21011266,promenade des bœufs gras de Bazas,,,
http://www.wikidata.org/entity/Q21027334,carnaval de Périgueux,,,
http://www.wikidata.org/entity/Q21035151,carnaval de Géronce,,,
http://www.wikidata.org/entity/Q21044497,fêtes du feu du solstice d'été dans les Pyrénées,,,
http://www.wikidata.org/entity/Q65150416,Carnaval Biarnés,,https://www.carnaval-biarnes.org/,
http://www.wikidata.org/entity/Q104641261,Carnaval d'Aix-en-Provence,,,
http://www.wikidata.org/entity/Q105474930,carnaval de Céret,,,
http://www.wikidata.org/entity/Q113834050,carnaval de Romans-sur-Isère,,,
http://www.wikidata.org/entity/Q3092269,Félibrée du Périgord,,,
http://www.wikidata.org/entity/Q8077866,Festival européen du film indépendant,,https://www.ecufilmfestival.com/,
http://www.wikidata.org/entity/Q8961515,Q8961515,,http://www.cinelatino.fr/,
http://www.wikidata.org/entity/Q10317566,Q10317566,,,
http://www.wikidata.org/entity/Q12949048,Hestiv'Òc,,https://www.hestivoc.com/,
http://www.wikidata.org/entity/Q16034434,Fête de la morue,,http://fetedelamorue.mairie-begles.fr,
http://www.wikidata.org/entity/Q16928457,Festival Séries Mania,,https://seriesmania.com/,
http://www.wikidata.org/entity/Q17115680,La Pourcailhade,,,
http://www.wikidata.org/entity/Q117211717,Foire au fromage,,,
http://www.wikidata.org/entity/Q14625701,Festival international du film d'Aubagne,,http://aubagne-filmfest.fr/,
http://www.wikidata.org/entity/Q15208241,Festival international de Contis,,http://www.cinema-contis.fr,
http://www.wikidata.org/entity/Q15231719,Les Hérault du cinéma,,http://www.lesheraultducinema.com,
http://www.wikidata.org/entity/Q15241214,Festival international du livre d'art et du film,,http://www.filaf.com,
http://www.wikidata.org/entity/Q15942635,Champs-Élysées Film Festival,,http://www.champselyseesfilmfestival.com/,
http://www.wikidata.org/entity/Q15968262,Festival de Silence,,http://www.festivaldesilence.fr/,
http://www.wikidata.org/entity/Q15968435,Rencontres du cinéma italien de Grenoble,,http://www.dolcecinema.com,
http://www.wikidata.org/entity/Q15968437,Snowboard Garden Festival,,http://www.gardenfestival.fr,
http://www.wikidata.org/entity/Q16034396,Festival du film d'Asie du Sud transgressif,,,
http://www.wikidata.org/entity/Q16034397,Bloody week-end,,http://www.bloodyweekend.fr,
http://www.wikidata.org/entity/Q16034406,Festival européen du film court de Brest,,http://www.filmcourt.fr,2977
http://www.wikidata.org/entity/Q16034422,Festival du film de montagne et d'exploration,,http://www.festival-montagne-exploration.org,
http://www.wikidata.org/entity/Q16034438,Festival du film coréen à Paris,,,
http://www.wikidata.org/entity/Q16034448,Il était une fois,,,
http://www.wikidata.org/entity/Q16034459,Les Pépites du Cinéma,,,
http://www.wikidata.org/entity/Q16034529,Un festival c'est trop court !,,https://ufctc.com/,
http://www.wikidata.org/entity/Q16034530,Festival 2 cinéma de Valenciennes,,http://www.festival2valenciennes.com/,
http://www.wikidata.org/entity/Q16034540,ZeFestival,,http://www.zefestival.fr,
http://www.wikidata.org/entity/Q16249621,Festival du film merveilleux,,http://www.festival-film-merveilleux.com,
http://www.wikidata.org/entity/Q16254643,Festival Biarritz Amérique latine,,http://www.festivaldebiarritz.com/,
http://www.wikidata.org/entity/Q16259555,Q16259555,,,
http://www.wikidata.org/entity/Q16666872,Nouvelles images du Japon,,,
http://www.wikidata.org/entity/Q16968869,Q16968869,,http://www.smihff.com,
http://www.wikidata.org/entity/Q17628209,Festival de cinéma en plein air de Visan,,,
http://www.wikidata.org/entity/Q17635327,Montagne en Scène,,http://www.montagne-en-scene.com,
http://www.wikidata.org/entity/Q18214846,Festival des Maudits Films,,,
http://www.wikidata.org/entity/Q19951421,Festival OFF d'Avignon,,http://www.avignonleoff.com,
http://www.wikidata.org/entity/Q20578232,Q20578232,,https://gbb.bzh,
http://www.wikidata.org/entity/Q20669764,Festival Sidération,,http://www.cnes-observatoire.net/,
http://www.wikidata.org/entity/Q20671209,Festival de la chanson à texte,,http://www.festichanson-montcuq.com,
http://www.wikidata.org/entity/Q21084094,Biennale internationale de la gravure de Sarcelles,,,
http://www.wikidata.org/entity/Q21520002,Biennale de design graphique d'Échirolles,,https://www.le-trace.fr/expositions-et-agendas/biennale-design-graphique/,
http://www.wikidata.org/entity/Q130395215,carnaval de Montélimar 2024,,,
http://www.wikidata.org/entity/Q4654424,Q4654424,,https://www.ashadedviewonfashionfilm.com,
http://www.wikidata.org/entity/Q5221690,Q5221690,,,
http://www.wikidata.org/entity/Q5445762,Q5445762,,,
http://www.wikidata.org/entity/Q5461905,Florissimo,,,
http://www.wikidata.org/entity/Q14866878,Q14866878,,,
http://www.wikidata.org/entity/Q15149898,American Tours Festival,,http://www.americantoursfestival.com/,
http://www.wikidata.org/entity/Q15845488,Les Expressifs,,http://www.lesexpressifs.com/,
http://www.wikidata.org/entity/Q16034423,Festival du goéland masqué,,,
http://www.wikidata.org/entity/Q112185961,PerformanceProcess 2015,,,
http://www.wikidata.org/entity/Q112189848,Festival international d’art performance de Martinique,,,
http://www.wikidata.org/entity/Q112192756,Q112192756,,https://www.lespasseursdelivres.fr,
http://www.wikidata.org/entity/Q113155529,Q113155529,,,
http://www.wikidata.org/entity/Q113155530,Q113155530,,,
http://www.wikidata.org/entity/Q113155531,Q113155531,,,
http://www.wikidata.org/entity/Q113155532,Q113155532,,,
http://www.wikidata.org/entity/Q113155533,Q113155533,,,
http://www.wikidata.org/entity/Q114560149,12e édition de Séries Mania,,,
http://www.wikidata.org/entity/Q114888249,Nouveaux Horizons,,,
http://www.wikidata.org/entity/Q125601288,Q125601288,,,
http://www.wikidata.org/entity/Q125601319,Q125601319,,,
http://www.wikidata.org/entity/Q106446432,Festival Paroles citoyennes,,https://www.parolescitoyennes.com/,
http://www.wikidata.org/entity/Q106602898,Maghreb-Orient des livres,,,
http://www.wikidata.org/entity/Q106966816,Les Naturiales,,,
http://www.wikidata.org/entity/Q110697398,La Nuit de l'Erdre,,https://www.lanuitdelerdre.fr/,
http://www.wikidata.org/entity/Q111209021,Festival Africlap,,,
http://www.wikidata.org/entity/Q111209032,Festival ODP,,,
http://www.wikidata.org/entity/Q111282776,Festival International des Textiles Extra ordinaires,,,
http://www.wikidata.org/entity/Q111634875,Saint-Maur Food Trucks Festival,,,
http://www.wikidata.org/entity/Q18551568,Festival du cinéma japonais contemporain KINOTAYO,,http://kinotayo.fr,
